Data,Cliques,Custo,Impressões,Conversões
"ter., 5 de mai. de 2026",0,"R$ 0,00",0,"0,00"
"qua., 6 de mai. de 2026",0,"R$ 0,00",0,"0,00"
"qui., 7 de mai. de 2026",0,"R$ 0,00",4,"0,00"
"sex., 8 de mai. de 2026",0,"R$ 0,00",3,"0,00"
"sáb., 9 de mai. de 2026",3,"R$ 12,28",40,"0,00"
"dom., 10 de mai. de 2026",0,"R$ 0,00",0,"0,00"
"seg., 11 de mai. de 2026",5,"R$ 20,88",93,"0,00"
"ter., 12 de mai. de 2026",5,"R$ 19,85",95,"0,00"
"qua., 13 de mai. de 2026",4,"R$ 13,89",96,"0,00"
"qui., 14 de mai. de 2026",8,"R$ 25,07",98,"7,00"
"sex., 15 de mai. de 2026",9,"R$ 27,02",92,"7,00"
"sáb., 16 de mai. de 2026",7,"R$ 28,28",53,"7,00"
"dom., 17 de mai. de 2026",0,"R$ 0,00",0,"0,00"
"seg., 18 de mai. de 2026",10,"R$ 44,73",126,"10,00"
"ter., 19 de mai. de 2026",2,"R$ 7,92",39,"2,00"
"qua., 20 de mai. de 2026",2,"R$ 16,68",53,"3,00"
"qui., 21 de mai. de 2026",5,"R$ 23,41",85,"5,00"
"sex., 22 de mai. de 2026",8,"R$ 54,26",117,"7,00"
"sáb., 23 de mai. de 2026",1,"R$ 5,58",3,"1,00"
"dom., 24 de mai. de 2026",0,"R$ 0,00",0,"0,00"
