Data,Cliques,CPC méd.,Custo,Conversões
"ter., 5 de mai. de 2026",0,"R$ 0,00","R$ 0,00","0,00"
"qua., 6 de mai. de 2026",0,"R$ 0,00","R$ 0,00","0,00"
"qui., 7 de mai. de 2026",0,—,"R$ 0,00","0,00"
"sex., 8 de mai. de 2026",0,—,"R$ 0,00","0,00"
"sáb., 9 de mai. de 2026",3,"R$ 4,09","R$ 12,28","0,00"
"dom., 10 de mai. de 2026",0,"R$ 0,00","R$ 0,00","0,00"
"seg., 11 de mai. de 2026",5,"R$ 4,18","R$ 20,88","0,00"
"ter., 12 de mai. de 2026",5,"R$ 3,97","R$ 19,85","0,00"
"qua., 13 de mai. de 2026",4,"R$ 3,47","R$ 13,89","0,00"
"qui., 14 de mai. de 2026",8,"R$ 3,13","R$ 25,07","7,00"
"sex., 15 de mai. de 2026",9,"R$ 3,00","R$ 27,02","7,00"
